Model,Accuracy,Weighted F1,Negative F1,Neutral F1,Positive F1
Logistic,0.938,0.9317503546099289,0.4126984126984127,0.2978723404255319,0.9714285714285714
SVM,0.953,0.9395510416666667,0.5,0.3333333333333333,0.9760416666666667
RNN,0.931,0.9035183842568617,0.0,0.0,0.9642672190574831
DistilBERT,0.952,0.9396021104544958,0.5862068965517241,0.13636363636363635,0.982086406743941
BERT,0.959,0.9535989212596779,0.6046511627906976,0.45901639344262296,0.9831223628691983
RoBERTa,0.962,0.9573400425022932,0.7307692307692307,0.4406779661016949,0.984647961884595
DeBERTa,0.957,0.9550388896107479,0.7307692307692307,0.43478260869565216,0.9824374667376264
